OTU;C.Tu;C.Td;T.TTu;T.TTd;TT.CTu;TT.CTd;model.StARS_0.08;ASV total abundance;ASV total abundance (log10);Prevalence
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;42;1.62324929;26.66666667
;;;;;;;;110;2.041392685;46.66666667
;;;;;;;;516;2.712649702;100
;;;;;;;;65;1.812913357;93.33333333
;;;;;;;;8153;3.911317442;93.33333333
;;;;;;;;248;2.394451681;100
;;;;;;;;3;0.477121255;13.33333333
;;;;;;;;391;2.592176757;100
;;;;;;;;33;1.51851394;53.33333333
;;;;;;;;27;1.431363764;26.66666667
;;;;;;;;36;1.556302501;6.666666667
;;;;;;;;50;1.698970004;13.33333333
;;;;;;;;163;2.212187604;20
;;;;;;;;15;1.176091259;20
;;;;;;;;29;1.462397998;46.66666667
;;;;;;;;18;1.255272505;26.66666667
;;;;;;;;27;1.431363764;33.33333333
;;;;;;;;8;0.903089987;20
;;;;;;;;289;2.460897843;93.33333333
;;;;;;;;18;1.255272505;60
;;;;;;;;108;2.033423755;80
;;;;;;;;48;1.681241237;73.33333333
;;;;;;;;8;0.903089987;33.33333333
;;;;;;;;75;1.875061263;33.33333333
;;;;;;;;1127;3.051923916;93.33333333
;;;;;;;;18;1.255272505;46.66666667
;;;;;;;;45;1.653212514;86.66666667
;;;;;;;;18;1.255272505;46.66666667
;;;;;;;;53;1.72427587;46.66666667
;;;;;;;;63;1.799340549;46.66666667
;;;;;;;;44;1.643452676;73.33333333
;;;;;;;;1;0;6.666666667
;;;;;;;;18;1.255272505;53.33333333
;;;;;;;;15;1.176091259;46.66666667
;;;;;;;;48;1.681241237;60
;;;;;;;;28;1.447158031;46.66666667
;;;;;;;;67;1.826074803;13.33333333
;;;;;;;;1;0;6.666666667
;;;;;;;;57;1.755874856;80
;;;;;;;;192;2.283301229;100
;;;;;;;;215;2.33243846;100
;;;;;;;;2672;3.426836454;100
;;;;;;;;2518;3.401055726;93.33333333
;;;;;;;;55;1.740362689;60
;;;;;;;;128;2.10720997;60
;;;;;;;;18;1.255272505;20
;;;;;;;;18;1.255272505;13.33333333
;;;;;;;;4;0.602059991;20
;;;;;;;;32;1.505149978;66.66666667
;;;;;;;;13;1.113943352;53.33333333
;;;;;;;;12;1.079181246;20
;;;;;;;;9;0.954242509;46.66666667
;;;;;;;;192;2.283301229;93.33333333
;;;;;;;;5;0.698970004;20
;;;;;;;;350;2.544068044;93.33333333
;;;;;;;;113;2.053078443;26.66666667
;;;;;;;;13;1.113943352;46.66666667
;;;;;;;;60;1.77815125;86.66666667
;;;;;;;;10;1;20
;;;;;;;;59;1.770852012;60
;;;;;;;;1270;3.103803721;100
;;;;;;;;1286;3.109240969;80
;;;;;;;;33;1.51851394;40
;;;;;;;;498;2.697229343;80
;;;;;;;;705;2.848189117;93.33333333
;;;;;;;;7;0.84509804;13.33333333
;;;;;;;;26;1.414973348;46.66666667
;;;;;;;;42;1.62324929;26.66666667
;;;;;;;;10;1;33.33333333
;;;;;;;;11;1.041392685;40
;;;;;;;;127;2.103803721;40
;;;;;;;;19;1.278753601;40
;;;;;;;;286;2.456366033;93.33333333
;;;;;;;;1043;3.018284308;86.66666667
;;;;;;;;139;2.1430148;86.66666667
;;;;;;;;72;1.857332496;80
;;;;;;;;290;2.462397998;100
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;490;2.69019608;66.66666667
;;;;;;;;674;2.828659897;73.33333333
;;;;;;;;395;2.596597096;93.33333333
;;;;;;;;724;2.859738566;80
;;;;;;;;61;1.785329835;73.33333333
;;;;;;;;18064;4.256813925;100
;;;;;;;;66;1.819543936;93.33333333
;;;;;;;;53;1.72427587;60
;;;;;;;;1322;3.121231455;86.66666667
;;;;;;;;16;1.204119983;40
;;;;;;;;10;1;40
;;;;;;;;31;1.491361694;73.33333333
;;;;;;;;44;1.643452676;66.66666667
;;;;;;;;86;1.934498451;93.33333333
;;;;;;;;22;1.342422681;33.33333333
;;;;;;;;73;1.86332286;73.33333333
;;;;;;;;789;2.897077003;86.66666667
;;;;;;;;5;0.698970004;13.33333333
;;;;;;;;106;2.025305865;86.66666667
;;;;;;;;57;1.755874856;73.33333333
;;;;;;;;12;1.079181246;33.33333333
;;;;;;;;24;1.380211242;73.33333333
;;;;;;;;1201;3.079543007;100
;;;;;;;;46;1.662757832;73.33333333
;;;;;;;;99;1.995635195;33.33333333
;;;;;;;;63;1.799340549;66.66666667
;;;;;;;;34;1.531478917;13.33333333
;;;;;;;;114;2.056904851;86.66666667
;;;;;;;;51;1.707570176;13.33333333
;;;;;;;;8;0.903089987;33.33333333
;;;;;;;;23;1.361727836;66.66666667
;;;;;;;;118;2.071882007;66.66666667
;;;;;;;;23;1.361727836;66.66666667
;;;;;;;;2005;3.302114377;80
;;;;;;;;74;1.86923172;86.66666667
;;;;;;;;64;1.806179974;60
;;;;;;;;21;1.322219295;53.33333333
;;;;;;;;9;0.954242509;20
;;;;;;;;156;2.193124598;60
;;;;;;;;66;1.819543936;80
;;;;;;;;15;1.176091259;53.33333333
;;;;;;;;61;1.785329835;86.66666667
;;;;;;;;6;0.77815125;20
;;;;;;;;62;1.792391689;73.33333333
;;;;;;;;72;1.857332496;86.66666667
;;;;;;;;40;1.602059991;60
;;;;;;;;897;2.952792443;93.33333333
;;;;;;;;10;1;46.66666667
;;;;;;;;293;2.46686762;86.66666667
;;;;;;;;33685;4.527436552;100
;;;;;;;;8180;3.912753304;66.66666667
;;;;;;;;63;1.799340549;60
;;;;;;;;37;1.568201724;86.66666667
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;132;2.120573931;73.33333333
;;;;;;;;6;0.77815125;6.666666667
;;;;;;;;13;1.113943352;13.33333333
;;;;;;;;12;1.079181246;6.666666667
;;;;;;;;32;1.505149978;13.33333333
;;;;;;;;287;2.457881897;86.66666667
;;;;;;;;31;1.491361694;13.33333333
;;;;;;;;15;1.176091259;33.33333333
;;;;;;;;66;1.819543936;13.33333333
;;;;;;;;104;2.017033339;100
;;;;;;;;2266;3.355259906;100
;;;;;;;;205;2.311753861;66.66666667
;;;;;;;;124;2.093421685;86.66666667
;;;;;;;;28;1.447158031;26.66666667
;;;;;;;;199;2.298853076;100
;;;;;;;;31;1.491361694;46.66666667
;;;;;;;;4;0.602059991;20
;;;;;;;;276;2.440909082;93.33333333
;;;;;;;;60;1.77815125;86.66666667
;;;;;;;;62;1.792391689;86.66666667
;;;;;;;;194;2.28780173;93.33333333
;;;;;;;;27;1.431363764;73.33333333
;;;;;;;;1694;3.228913406;33.33333333
;;;;;;;;50;1.698970004;66.66666667
;;;;;;;;44;1.643452676;80
;;;;;;;;12;1.079181246;46.66666667
;;;;;;;;14;1.146128036;40
;;;;;;;;314;2.496929648;86.66666667
;;;;;;;;14;1.146128036;60
;;;;;;;;628;2.797959644;46.66666667
;;;;;;;;9;0.954242509;46.66666667
;;;;;;;;88;1.944482672;73.33333333
;;;;;;;;28;1.447158031;53.33333333
;;;;;;;;11;1.041392685;40
;;;;;;;;279;2.445604203;100
;;;;;;;;108;2.033423755;86.66666667
;;;;;;;;8;0.903089987;26.66666667
;;;;;;;;122;2.086359831;93.33333333
;;;;;;;;40;1.602059991;73.33333333
;;;;;;;;118;2.071882007;100
;;;;;;;;7;0.84509804;40
;;;;;;;;74;1.86923172;40
;;;;;;;;1904;3.279666944;80
;;;;;;;;23;1.361727836;60
;;;;;;;;36;1.556302501;73.33333333
;;;;;;;;141;2.149219113;26.66666667
;;;;;;;;110;2.041392685;46.66666667
;;;;;;;;20;1.301029996;26.66666667
;;;;;;;;34;1.531478917;20
;;;;;;;;105;2.021189299;86.66666667
;;;;;;;;80;1.903089987;60
;;;;;;;;13;1.113943352;26.66666667
;;;;;;;;7;0.84509804;40
;;;;;;;;57;1.755874856;60
;;;;;;;;4;0.602059991;20
;;;;;;;;120;2.079181246;33.33333333
;;;;;;;;53;1.72427587;53.33333333
;;;;;;;;3965;3.598243192;100
;;;;;;;;30;1.477121255;73.33333333
;;;;;;;;18;1.255272505;53.33333333
;;;;;;;;18;1.255272505;60
;;;;;;;;256;2.408239965;86.66666667
;;;;;;;;6;0.77815125;13.33333333
;;;;;;;;45;1.653212514;46.66666667
;;;;;;;;68;1.832508913;93.33333333
;;;;;;;;144;2.158362492;13.33333333
;;;;;;;;103;2.012837225;73.33333333
;;;;;;;;111;2.045322979;93.33333333
;;;;;;;;16;1.204119983;20
;;;;;;;;42;1.62324929;40
;;;;;;;;36;1.556302501;53.33333333
;;;;;;;;16;1.204119983;26.66666667
;;;;;;;;8;0.903089987;40
;;;;;;;;100;2;86.66666667
;;;;;;;;12;1.079181246;26.66666667
;;;;;;;;24;1.380211242;20
;;;;;;;;23;1.361727836;20
;;;;;;;;13;1.113943352;6.666666667
;;;;;;;;188;2.274157849;86.66666667
;;;;;;;;30;1.477121255;53.33333333
;;;;;;;;10;1;13.33333333
;;;;;;;;7;0.84509804;20
;;;;;;;;23;1.361727836;60
;;;;;;;;34;1.531478917;40
;;;;;;;;39;1.591064607;60
;;;;;;;;5;0.698970004;13.33333333
;;;;;;;;14;1.146128036;40
;;;;;;;;45;1.653212514;20
;;;;;;;;2306;3.362859303;93.33333333
;;;;;;;;17;1.230448921;53.33333333
;;;;;;;;13;1.113943352;26.66666667
;;;;;;;;154;2.187520721;80
;;;;;;;;112;2.049218023;66.66666667
;;;;;;;;28;1.447158031;73.33333333
;;;;;;;;30;1.477121255;13.33333333
;;;;;;;;40;1.602059991;20
;;;;;;;;108;2.033423755;80
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;49;1.69019608;86.66666667
;;;;;;;;9;0.954242509;26.66666667
;;;;;;;;199;2.298853076;73.33333333
;;;;;;;;82;1.913813852;80
;;;;;;;;4;0.602059991;20
;;;;;;;;71;1.851258349;73.33333333
;;;;;;;;10;1;13.33333333
;;;;;;;;23;1.361727836;33.33333333
;;;;;;;;11;1.041392685;33.33333333
;;;;;;;;21;1.322219295;66.66666667
;;;;;;;;277;2.442479769;100
;;;;;;;;58;1.763427994;80
;;;;;;;;113;2.053078443;93.33333333
;;;;;;;;56;1.748188027;73.33333333
;;;;;;;;1121;3.049605613;93.33333333
;;;;;;;;10;1;26.66666667
;;;;;;;;34;1.531478917;66.66666667
;;;;;;;;3116;3.493597449;93.33333333
;;;;;;;;147;2.167317335;73.33333333
;;;;;;;;315;2.498310554;73.33333333
;;;;;;;;387;2.587710965;93.33333333
;;;;;;;;25;1.397940009;33.33333333
;;;;;;;;92;1.963787827;80
;;;;;;;;155;2.190331698;73.33333333
;;;;;;;;137;2.136720567;60
;;;;;;;;673;2.828015064;80
;;;;;;;;1;0;6.666666667
;;;;;;;;293;2.46686762;100
;;;;;;;;88;1.944482672;86.66666667
;;;;;;;;26;1.414973348;80
;;;;;;;;22;1.342422681;60
;;;;;;;;24;1.380211242;53.33333333
;;;;;;;;246;2.390935107;93.33333333
;;;;;;;;76;1.880813592;60
;;;;;;;;103;2.012837225;93.33333333
;;;;;;;;77;1.886490725;60
;;;;;;;;15825;4.199343719;100
;;;;;;;;29;1.462397998;80
;;;;;;;;77;1.886490725;93.33333333
;;;;;;;;33;1.51851394;40
;;;;;;;;11;1.041392685;40
;;;;;;;;44;1.643452676;13.33333333
;;;;;;;;3;0.477121255;20
;;;;;;;;4;0.602059991;13.33333333
;;;;;;;;19;1.278753601;13.33333333
;;;;;;;;170;2.230448921;100
;;;;;;;;233;2.367355921;60
;;;;;;;;6;0.77815125;40
;;;;;;;;5855;3.767526899;100
;;;;;;;;353;2.547774705;100
;;;;;;;;132;2.120573931;80
;;;;;;;;17;1.230448921;46.66666667
;;;;;;;;10;1;26.66666667
;;;;;;;;5;0.698970004;20
;;;;;;;;9;0.954242509;46.66666667
;;;;;;;;1262;3.101059355;93.33333333
;;;;;;;;22;1.342422681;53.33333333
;;;;;;;;113;2.053078443;93.33333333
;;;;;;;;2641;3.421768401;100
;;;;;;;;113;2.053078443;60
;;;;;;;;7;0.84509804;13.33333333
;;;;;;;;59;1.770852012;73.33333333
;;;;;;;;2590;3.413299764;93.33333333
;;;;;;;;13;1.113943352;33.33333333
;;;;;;;;10;1;60
;;;;;;;;5;0.698970004;26.66666667
;;;;;;;;284;2.45331834;73.33333333
;;;;;;;;20;1.301029996;53.33333333
;;;;;;;;30;1.477121255;33.33333333
;;;;;;;;596;2.77524626;86.66666667
;;;;;;;;14;1.146128036;53.33333333
;;;;;;;;14;1.146128036;46.66666667
;;;;;;;;13;1.113943352;53.33333333
;;;;;;;;3204;3.505692507;86.66666667
;;;;;;;;22235;4.347037134;93.33333333
;;;;;;;;9;0.954242509;33.33333333
;;;;;;;;126;2.100370545;80
;;;;;;;;369;2.567026366;80
;;;;;;;;1;0;6.666666667
;;;;;;;;13;1.113943352;60
;;;;;;;;72;1.857332496;80
;;;;;;;;13;1.113943352;13.33333333
;;;;;;;;5;0.698970004;26.66666667
;;;;;;;;45;1.653212514;60
;;;;;;;;991;2.996073654;93.33333333
;;;;;;;;20;1.301029996;6.666666667
;;;;;;;;4;0.602059991;20
;;;;;;;;16;1.204119983;66.66666667
;;;;;;;;151;2.178976947;86.66666667
;;;;;;;;14;1.146128036;26.66666667
;;;;;;;;4972;3.69653112;86.66666667
;;;;;;;;101;2.004321374;66.66666667
;;;;;;;;9;0.954242509;40
;;;;;;;;10;1;26.66666667
;;;;;;;;1;0;6.666666667
;;;;;;;;11;1.041392685;13.33333333
;;;;;;;;20;1.301029996;40
;;;;;;;;40;1.602059991;86.66666667
;;;;;;;;1;0;6.666666667
;;;;;;;;24;1.380211242;40
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;11;1.041392685;13.33333333
;;;;;;;;14;1.146128036;13.33333333
;;;;;;;;23;1.361727836;26.66666667
;;;;;;;;7;0.84509804;6.666666667
;;;;;;;;30;1.477121255;86.66666667
;;;;;;;;12;1.079181246;46.66666667
;;;;;;;;8;0.903089987;40
;;;;;;;;22;1.342422681;60
;;;;;;;;10;1;13.33333333
;;;;;;;;3;0.477121255;13.33333333
;;;;;;;;19;1.278753601;33.33333333
;;;;;;;;3;0.477121255;20
;;;;;;;;702;2.846337112;73.33333333
;;;;;;;;23;1.361727836;66.66666667
;;;;;;;;30;1.477121255;40
;;;;;;;;19;1.278753601;26.66666667
;;;;;;;;6068;3.783045572;100
;;;;;;;;153;2.184691431;86.66666667
;;;;;;;;12;1.079181246;33.33333333
;;;;;;;;3;0.477121255;6.666666667
;;;;;;;;18;1.255272505;33.33333333
;;;;;;;;254;2.404833717;80
;;;;;;;;293;2.46686762;60
;;;;;;;;257;2.409933123;100
;;;;;;;;19;1.278753601;40
;;;;;;;;20;1.301029996;60
;;;;;;;;6;0.77815125;20
;;;;;;;;43;1.633468456;73.33333333
;;;;;;;;166;2.220108088;93.33333333
;;;;;;;;2379;3.376394442;86.66666667
;;;;;;;;333;2.522444234;93.33333333
;;;;;;;;16;1.204119983;33.33333333
;;;;;;;;1;0;6.666666667
;;;;;;;;4;0.602059991;13.33333333
;;;;;;;;5;0.698970004;20
;;;;;;;;77;1.886490725;80
;;;;;;;;16;1.204119983;46.66666667
;;;;;;;;19237;4.284137345;100
;;;;;;;;5527;3.742489465;100
;;;;;;;;5;0.698970004;13.33333333
;;;;;;;;21;1.322219295;73.33333333
;;;;;;;;68;1.832508913;93.33333333
;;;;;;;;272;2.434568904;53.33333333
;;;;;;;;29;1.462397998;66.66666667
;;;;;;;;54;1.73239376;86.66666667
;;;;;;;;12;1.079181246;20
;;;;;;;;80;1.903089987;60
;;;;;;;;1;0;6.666666667
;;;;;;;;30;1.477121255;13.33333333
;;;;;;;;9;0.954242509;20
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;13;1.113943352;20
;;;;;;;;30;1.477121255;86.66666667
;;;;;;;;5;0.698970004;33.33333333
;;;;;;;;21;1.322219295;46.66666667
;;;;;;;;10;1;53.33333333
;;;;;;;;5;0.698970004;20
;;;;;;;;64;1.806179974;86.66666667
;;;;;;;;68;1.832508913;40
;;;;;;;;70;1.84509804;93.33333333
;;;;;;;;146;2.164352856;100
;;;;;;;;28;1.447158031;46.66666667
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;36;1.556302501;80
;;;;;;;;6335;3.801746619;93.33333333
;;;;;;;;22;1.342422681;53.33333333
;;;;;;;;6;0.77815125;20
;;;;;;;;33;1.51851394;33.33333333
;;;;;;;;442;2.645422269;60
;;;;;;;;56;1.748188027;40
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;25;1.397940009;26.66666667
;;;;;;;;5;0.698970004;20
;;;;;;;;18;1.255272505;60
;;;;;;;;22;1.342422681;73.33333333
;;;;;;;;90;1.954242509;60
;;;;;;;;17;1.230448921;40
;;;;;;;;87;1.939519253;100
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;67;1.826074803;80
;;;;;;;;4;0.602059991;13.33333333
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;11;1.041392685;6.666666667
;;;;;;;;25;1.397940009;60
;;;;;;;;49;1.69019608;20
;;;;;;;;90;1.954242509;93.33333333
;;;;;;;;42;1.62324929;33.33333333
;;;;;;;;9;0.954242509;20
;;;;;;;;53;1.72427587;80
;;;;;;;;35;1.544068044;66.66666667
;;;;;;;;16;1.204119983;66.66666667
;;;;;;;;15;1.176091259;60
;;;;;;;;5;0.698970004;20
;;;;;;;;73;1.86332286;93.33333333
;;;;;;;;68;1.832508913;86.66666667
;;;;;;;;6;0.77815125;20
;;;;;;;;22;1.342422681;66.66666667
;;;;;;;;32;1.505149978;80
;;;;;;;;44;1.643452676;20
;;;;;;;;4646;3.667079205;93.33333333
;;;;;;;;34;1.531478917;40
;;;;;;;;28;1.447158031;33.33333333
;;;;;;;;50;1.698970004;33.33333333
;;;;;;;;49;1.69019608;26.66666667
;;;;;;;;12;1.079181246;53.33333333
;;;;;;;;30;1.477121255;66.66666667
;;;;;;;;10;1;40
;;;;;;;;58;1.763427994;80
;;;;;;;;7;0.84509804;6.666666667
;;;;;;;;76;1.880813592;46.66666667
;;;;;;;;10;1;20
;;;;;;;;89;1.949390007;66.66666667
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;1816;3.259115844;100
;;;;;;;;7;0.84509804;40
;;;;;;;;216;2.334453751;86.66666667
;;;;;;;;238;2.376576957;86.66666667
;;;;;;;;17;1.230448921;20
;;;;;;;;15;1.176091259;66.66666667
;;;;;;;;327;2.514547753;100
;;;;;;;;180;2.255272505;93.33333333
;;;;;;;;31;1.491361694;13.33333333
;;;;;;;;1147;3.059563418;93.33333333
;;;;;;;;50;1.698970004;86.66666667
;;;;;;;;26;1.414973348;80
;;;;;;;;14;1.146128036;40
;;;;;;;;156;2.193124598;73.33333333
;;;;;;;;110;2.041392685;60
;;;;;;;;14;1.146128036;20
;;;;;;;;22;1.342422681;26.66666667
;;;;;;;;147;2.167317335;40
;;;;;;;;2196;3.341632336;93.33333333
;;;;;;;;16;1.204119983;60
;;;;;;;;6;0.77815125;20
;;;;;;;;58;1.763427994;20
;;;;;;;;7;0.84509804;33.33333333
;;;;;;;;104;2.017033339;80
;;;;;;;;1485;3.171726454;93.33333333
;;;;;;;;159;2.201397124;100
;;;;;;;;17;1.230448921;60
;;;;;;;;7;0.84509804;26.66666667
;;;;;;;;71;1.851258349;73.33333333
;;;;;;;;2;0.301029996;6.666666667
;;;;;;;;4;0.602059991;6.666666667
;;;;;;;;112;2.049218023;66.66666667
;;;;;;;;9;0.954242509;40
;;;;;;;;262;2.418301291;46.66666667
;;;;;;;;59;1.770852012;40
;;;;;;;;18;1.255272505;33.33333333
;;;;;;;;5;0.698970004;26.66666667
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;33;1.51851394;60
;;;;;;;;23;1.361727836;20
;;;;;;;;101;2.004321374;46.66666667
;;;;;;;;5;0.698970004;33.33333333
;;;;;;;;16;1.204119983;26.66666667
;;;;;;;;768;2.88536122;93.33333333
;;;;;;;;6;0.77815125;40
;;;;;;;;7;0.84509804;33.33333333
;;;;;;;;3;0.477121255;13.33333333
;;;;;;;;57;1.755874856;73.33333333
;;;;;;;;2008;3.302763708;100
;;;;;;;;808;2.907411361;100
;;;;;;;;650;2.812913357;80
;;;;;;;;5;0.698970004;20
;;;;;;;;89;1.949390007;60
;;;;;;;;53;1.72427587;53.33333333
;;;;;;;;29;1.462397998;66.66666667
;;;;;;;;54;1.73239376;26.66666667
;;;;;;;;85;1.929418926;20
;;;;;;;;6;0.77815125;20
;;;;;;;;3;0.477121255;20
;;;;;;;;29;1.462397998;60
;;;;;;;;24;1.380211242;53.33333333
;;;;;;;;25;1.397940009;53.33333333
;;;;;;;;6;0.77815125;33.33333333
;;;;;;;;48;1.681241237;53.33333333
;;;;;;;;79;1.897627091;66.66666667
;;;;;;;;31;1.491361694;80
;;;;;;;;23;1.361727836;26.66666667
;;;;;;;;1775;3.249198357;93.33333333
;;;;;;;;17;1.230448921;46.66666667
;;;;;;;;6;0.77815125;33.33333333
;;;;;;;;47;1.672097858;66.66666667
;;;;;;;;5;0.698970004;6.666666667
;;;;;;;;2;0.301029996;13.33333333
;;;;;;;;730;2.86332286;100
;;;;;;;;12;1.079181246;53.33333333
;;;;;;;;98;1.991226076;53.33333333
;;;;;;;;148;2.170261715;60
;;;;;;;;3;0.477121255;20
;;;;;;;;10;1;40
;;;;;;;;66;1.819543936;20
;;;;;;;;81;1.908485019;53.33333333
;;;;;;;;512;2.709269961;80
;;;;;;;;13;1.113943352;13.33333333
;;;;;;;;46;1.662757832;20
;;;;;;;;55;1.740362689;66.66666667
;;;;;;;;732;2.864511081;66.66666667
;;;;;;;;433;2.636487896;86.66666667
;;;;;;;;57;1.755874856;13.33333333
;;;;;;;;13;1.113943352;33.33333333
;;;;;;;;112;2.049218023;80
;;;;;;;;1;0;6.666666667
;;;;;;;;317;2.501059262;93.33333333
;;;;;;;;16;1.204119983;40
;;;;;;;;41;1.612783857;40
;;;;;;;;74;1.86923172;40
;;;;;;;;23;1.361727836;20
;;;;;;;;8;0.903089987;13.33333333
;;;;;;;;27;1.431363764;53.33333333
;;;;;;;;5;0.698970004;6.666666667
;;;;;;;;28;1.447158031;86.66666667
;;;;;;;;23;1.361727836;13.33333333
;;;;;;;;32;1.505149978;40
;;;;;;;;340;2.531478917;86.66666667
;;;;;;;;15;1.176091259;53.33333333
;;;;;;;;4;0.602059991;13.33333333
;;;;;;;;34;1.531478917;26.66666667
;;;;;;;;27;1.431363764;20
;;;;;;;;1;0;6.666666667
;;;;;;;;77;1.886490725;40
;;;;;;;;13;1.113943352;26.66666667
;;;;;;;;216;2.334453751;46.66666667
;;;;;;;;34;1.531478917;60
;;;;;;;;25;1.397940009;13.33333333
;;;;;;;;21;1.322219295;66.66666667
;;;;;;;;7;0.84509804;13.33333333
;;;;;;;;3;0.477121255;6.666666667
;;;;;;;;200;2.301029996;93.33333333
;;;;;;;;26;1.414973348;46.66666667
;;;;;;;;5;0.698970004;13.33333333
;;;;;;;;59;1.770852012;60
;;;;;;;;20;1.301029996;40
;;;;;;;;12;1.079181246;20
;;;;;;;;138;2.139879086;53.33333333
;;;;;;;;103;2.012837225;100
;;;;;;;;18;1.255272505;46.66666667
;;;;;;;;13;1.113943352;13.33333333
;;;;;;;;74;1.86923172;40
;;;;;;;;15;1.176091259;46.66666667
;;;;;;;;49;1.69019608;46.66666667
;;;;;;;;10;1;6.666666667
;;;;;;;;152;2.181843588;20
;;;;;;;;40;1.602059991;66.66666667
;;;;;;;;6;0.77815125;26.66666667
;;;;;;;;105;2.021189299;80
;;;;;;;;42;1.62324929;40
;;;;;;;;455;2.658011397;93.33333333
;;;;;;;;41;1.612783857;73.33333333
;;;;;;;;3;0.477121255;6.666666667
;;;;;;;;300;2.477121255;80
;;;;;;;;5045;3.702861171;100
;;;;;;;;234;2.369215857;33.33333333
;;;;;;;;261;2.416640507;100
;;;;;;;;50;1.698970004;86.66666667
;;;;;;;;38;1.579783597;20
;;;;;;;;898;2.953276337;93.33333333
;;;;;;;;26;1.414973348;20
;;;;;;;;122;2.086359831;86.66666667
;;;;;;;;20;1.301029996;6.666666667
;;;;;;;;1082;3.034227261;80
;;;;;;;;25;1.397940009;53.33333333
;;;;;;;;306;2.485721426;80
;;;;;;;;184;2.264817823;53.33333333
;;;;;;;;847;2.92788341;100
;;;;;;;;6002;3.778295991;100
;;;;;;;;113;2.053078443;86.66666667
;;;;;;;;9;0.954242509;6.666666667
;;;;;;;;282;2.450249108;93.33333333
;;;;;;;;11;1.041392685;26.66666667
;;;;;;;;112;2.049218023;20
;;;;;;;;173;2.238046103;93.33333333
;;;;;;;;114;2.056904851;73.33333333
;;;;;;;;16;1.204119983;53.33333333
;;;;;;;;4;0.602059991;26.66666667
;;;;;;;;71;1.851258349;86.66666667
;;;;;;;;14;1.146128036;20
;;;;;;;;612;2.786751422;93.33333333
;;;;;;;;101;2.004321374;33.33333333
;;;;;;;;15;1.176091259;13.33333333
;;;;;;;;1048;3.020361283;46.66666667
;;;;;;;;858;2.933487288;100
;;;;;;;;933;2.969881644;100
;;;;;;;;43;1.633468456;13.33333333
;;;;;;;;361;2.557507202;80
;;;;;;;;4116;3.614475366;100
;;;;;;;;31;1.491361694;20
;;;;;;;;49;1.69019608;46.66666667
;;;;;;;;27;1.431363764;53.33333333
;;;;;;;;83;1.919078092;73.33333333
;;;;;;;;37;1.568201724;73.33333333
;;;;;;;;244;2.387389826;80
;;;;;;;;3;0.477121255;6.666666667
;;;;;;;;638;2.804820679;100
;;;;;;;;38;1.579783597;73.33333333
;;;;;;;;85;1.929418926;46.66666667
;;;;;;;;20;1.301029996;20
;;;;;;;;53;1.72427587;60
;;;;;;;;20;1.301029996;46.66666667
;;;;;;;;68;1.832508913;73.33333333
;;;;;;;;6;0.77815125;26.66666667
;;;;;;;;73;1.86332286;80
;;;;;;;;23;1.361727836;53.33333333
;;;;;;;;204;2.309630167;93.33333333
;;;;;;;;1240;3.093421685;86.66666667
;;;;;;;;204;2.309630167;46.66666667
;;;;;;;;230;2.361727836;93.33333333
;;;;;;;;121;2.08278537;53.33333333
;;;;;;;;41;1.612783857;13.33333333
;;;;;;;;19;1.278753601;33.33333333
;;;;;;;;61;1.785329835;73.33333333
;;;;;;;;99;1.995635195;60
;;;;;;;;206;2.31386722;26.66666667
;;;;;;;;25;1.397940009;53.33333333
;;;;;;;;348;2.541579244;80
;;;;;;;;199;2.298853076;86.66666667
;;;;;;;;19;1.278753601;46.66666667
;;;;;;;;124;2.093421685;60
;;;;;;;;297;2.472756449;73.33333333
;;;;;;;;65;1.812913357;20
;;;;;;;;1;0;6.666666667
;;;;;;;;48;1.681241237;26.66666667
;;;;;;;;63;1.799340549;66.66666667
;;;;;;;;12;1.079181246;33.33333333
;;;;;;;;5880;3.769377326;93.33333333
;;;;;;;;225;2.352182518;66.66666667
;;;;;;;;177;2.247973266;100
;;;;;;;;14;1.146128036;6.666666667
;;;;;;;;222;2.346352974;46.66666667
;;;;;;;;371;2.56937391;86.66666667
;;;;;;;;136;2.133538908;60
;;;;;;;;61;1.785329835;93.33333333
;;;;;;;;38;1.579783597;20
;;;;;;;;24;1.380211242;26.66666667
;;;;;;;;54;1.73239376;20
;;;;;;;;18;1.255272505;46.66666667
;;;;;;;;18;1.255272505;46.66666667
;;;;;;;;311;2.492760389;93.33333333
;;;;;;;;16;1.204119983;40
;;;;;;;;24;1.380211242;60
;;;;;;;;12;1.079181246;26.66666667
;;;;;;;;4673;3.669595781;93.33333333
;;;;;;;;14;1.146128036;13.33333333
;;;;;;;;114;2.056904851;66.66666667
;;;;;;;;308;2.488550717;80
;;;;;;;;276;2.440909082;93.33333333
;;;;;;;;260;2.414973348;40
