OTU;C.Tu;C.Td;T.TTu;T.TTd;TT.CTu;TT.CTd;model.StARS_0.08;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-124814;0;0;1;0;0;0;1;12;1.079181246;20
OTU-125;1;0;1;1;0;1;0;107;2.029383778;80
OTU-1251;0;1;0;1;0;0;1;92;1.963787827;73.33333333
OTU-1266;0;0;0;1;0;0;1;129;2.11058971;53.33333333
OTU-13;1;1;1;1;0;1;1;18;1.255272505;40
OTU-13108;1;0;1;0;1;0;0;229;2.359835482;80
OTU-131621;0;0;1;0;0;1;1;373;2.571708832;80
OTU-131835;0;0;1;0;0;0;1;9;0.954242509;26.66666667
OTU-132555;1;0;1;0;0;1;1;94;1.973127854;40
OTU-1338;0;0;0;0;0;0;0;73;1.86332286;40
OTU-13471;1;0;0;1;0;0;1;1;0;6.666666667
OTU-135;0;1;1;0;1;0;1;2;0.301029996;13.33333333
OTU-135209;1;0;1;0;1;1;1;15;1.176091259;33.33333333
OTU-135212;0;0;0;0;0;0;0;74;1.86923172;33.33333333
OTU-136;1;0;0;1;0;1;1;20;1.301029996;46.66666667
OTU-13783;0;0;0;0;0;0;0;28;1.447158031;40
OTU-138;0;1;0;1;1;0;1;75;1.875061263;60
OTU-138044;0;0;1;0;1;0;1;39;1.591064607;60
OTU-1391;0;0;1;0;0;1;1;49;1.69019608;53.33333333
OTU-139397;1;0;0;1;0;1;1;33;1.51851394;26.66666667
OTU-1399;0;0;0;0;0;1;1;1881;3.274388796;93.33333333
OTU-14;1;1;1;1;0;1;1;14;1.146128036;40
OTU-142223;1;0;1;0;1;0;1;1187;3.074450719;93.33333333
OTU-142416;0;0;1;0;0;1;1;3300;3.51851394;100
OTU-142469;1;0;0;0;0;1;1;67;1.826074803;60
OTU-14284;1;0;0;0;0;1;1;165;2.217483944;26.66666667
OTU-143686;0;0;1;0;0;1;1;16;1.204119983;33.33333333
OTU-144424;1;0;1;0;0;1;1;295;2.469822016;73.33333333
OTU-145;1;0;1;0;0;1;1;7;0.84509804;40
OTU-14718;1;0;1;0;0;1;0;15;1.176091259;40
OTU-1479;1;0;0;1;0;1;1;84;1.924279286;60
OTU-148;1;0;1;0;0;1;1;48;1.681241237;60
OTU-14927;1;0;0;0;0;0;1;1566;3.194791758;93.33333333
OTU-149897;0;0;1;0;0;1;1;150;2.176091259;73.33333333
OTU-15;1;1;1;1;0;1;1;8;0.903089987;33.33333333
OTU-1507;1;1;1;0;0;1;0;194;2.28780173;80
OTU-151;1;1;0;1;1;1;0;28;1.447158031;53.33333333
OTU-151248;0;0;1;0;0;1;1;2174;3.33725954;93.33333333
OTU-1513;1;0;1;0;0;1;1;5;0.698970004;13.33333333
OTU-152;0;0;0;1;0;1;1;19;1.278753601;33.33333333
OTU-152072;0;0;1;0;1;1;1;25;1.397940009;20
