OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-56220;1;1;1;1;0;1521;3.182129214;89.04109589;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;NA
OTU-128;1;1;1;1;0;6641;3.82223348;91.78082192;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;NA;NA
OTU-52;1;1;1;1;0;2194;3.341236623;91.78082192;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__muralis
OTU-59756;1;1;1;1;0;565;2.752048448;78.76712329;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;NA;NA
OTU-58013;1;1;1;1;0;13774;4.139060079;93.15068493;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__ginsengi
OTU-4;1;1;1;1;0;26770;4.427648371;91.78082192;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__selenatarsenatis
OTU-16154;1;1;1;1;0;1436;3.15715444;91.09589041;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
OTU-2667;1;1;0;1;0;2982;3.474507639;54.10958904;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
OTU-2147;1;1;0;1;0;821;2.914343157;36.98630137;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
OTU-715;1;1;1;1;0;762;2.881954971;62.32876712;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
OTU-66662;1;1;0;1;0;3259;3.51308436;55.47945205;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__
OTU-5022;1;1;1;0;0;362;2.558708571;53.42465753;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__butyricum
OTU-292;1;1;1;1;0;6529;3.814846669;89.04109589;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f;g__;s__
OTU-407;1;1;1;0;1;765;2.883661435;45.20547945;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
OTU-27364;1;1;1;0;1;529;2.723455672;15.75342466;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
OTU-82;1;1;1;1;1;2907;3.463445032;91.78082192;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
OTU-15125;1;1;1;0;1;222;2.346352974;36.30136986;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__;s__
OTU-24573;1;1;1;0;0;266;2.424881637;15.06849315;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
OTU-395;1;1;1;0;0;624;2.79518459;86.98630137;k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__;s__
OTU-342;1;1;1;0;0;684;2.835056102;85.61643836;k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__;s__
OTU-426;1;1;1;1;0;1811;3.25791845;91.09589041;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU-156;1;1;1;1;0;3135;3.496237545;87.67123288;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU-32;1;1;1;1;0;2023;3.305995883;92.46575342;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU-709;1;1;1;1;0;4508;3.653983907;91.78082192;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722;f__;g__;s__
OTU-5462;1;1;1;0;0;103;2.012837225;14.38356164;k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781;f__;g__;s__
OTU-3757;1;1;1;0;0;412;2.614897216;82.19178082;k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781;f__;g__;s__
OTU-14654;1;1;1;0;0;210;2.322219295;21.91780822;k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__
OTU-1067;1;1;1;1;1;2147;3.331832044;91.78082192;k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48;f__;g__;s__
OTU-56040;1;1;1;1;0;4081;3.610766595;91.78082192;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin517;g__;s__
OTU-324;1;1;1;1;0;12736;4.10503305;91.78082192;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin517;g__;s__
OTU-7462;1;1;1;0;0;213;2.328379603;15.75342466;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin517;g__;s__
OTU-1460;1;1;1;0;0;207;2.315970345;15.06849315;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__;g__;s__
OTU-144;1;1;1;1;0;548;2.738780558;85.61643836;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__;g__;s__
OTU-5882;1;1;1;1;0;301;2.478566496;75.34246575;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter;s__
OTU-574;1;1;1;1;0;161;2.206825876;47.94520548;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter;s__
OTU-749;1;1;1;1;0;1293;3.111598525;85.61643836;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__
OTU-391;1;1;1;0;1;389;2.589949601;35.61643836;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-17978;1;1;1;1;0;640;2.806179974;77.39726027;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-6403;1;1;1;1;0;1307;3.116275588;91.09589041;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-91;1;1;1;1;0;6186;3.791409916;92.46575342;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-47205;1;1;0;1;0;400;2.602059991;67.12328767;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-169;1;1;1;1;0;3438;3.536305872;89.7260274;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__;s__
OTU-797;1;1;1;0;1;865;2.937016107;72.60273973;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101;s__
OTU-22187;1;1;1;0;1;590;2.770852012;39.7260274;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101;s__
OTU-38542;1;1;1;0;1;415;2.618048097;21.23287671;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101;s__
OTU-2666;1;1;1;0;1;299;2.475671188;23.97260274;k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101;s__
OTU-4129;1;1;1;0;0;697;2.843232778;83.56164384;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__;s__
OTU-745;1;1;1;1;0;2309;3.363423933;91.78082192;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__;s__
OTU-273;1;1;1;1;0;2650;3.423245874;91.78082192;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU-4976;1;1;1;1;0;1485;3.171726454;91.78082192;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU-861;1;1;1;1;0;1955;3.291146762;86.30136986;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU-28;1;1;1;1;1;19156;4.282304828;91.78082192;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU-2000;1;1;0;1;0;315;2.498310554;54.10958904;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU-225;1;1;0;1;0;1199;3.078819183;84.93150685;k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__;f__;g__;s__
OTU-26790;1;1;1;0;0;1071;3.029789471;7.534246575;k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium;s__
OTU-75;1;1;1;1;0;1786;3.251881455;32.87671233;k__Bacteria;p__TM7;c__TM7-1;o__;f__;g__;s__
OTU-548;1;1;1;1;0;1317;3.119585775;85.61643836;k__Bacteria;p__TM7;c__TM7-1;o__;f__;g__;s__
OTU-1019;1;1;1;1;0;688;2.837588438;77.39726027;k__Bacteria;p__TM7;c__TM7-1;o__;f__;g__;s__
OTU-605;1;1;0;1;0;1824;3.261024834;83.56164384;k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__
OTU-15;1;1;1;1;0;9229;3.965154646;89.7260274;k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__
OTU-552;1;1;1;1;0;1253;3.097951071;85.61643836;k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__
OTU-20489;1;1;1;0;0;398;2.599883072;23.97260274;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__
OTU-19748;1;1;1;0;1;567;2.753583059;13.01369863;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__
OTU-1743;1;1;1;0;0;574;2.758911892;71.91780822;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__
OTU-5638;1;1;1;0;1;411;2.613841822;28.08219178;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__
OTU-11730;1;1;1;0;0;70;1.84509804;6.164383562;k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10;f__;g__;s__
OTU-1130;1;1;1;1;0;2507;3.399154334;91.09589041;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__;s__
OTU-142;1;1;1;1;0;2003;3.301680949;84.93150685;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__;s__
OTU-1664;1;1;1;1;0;2245;3.351216345;84.93150685;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__;s__
OTU-2243;1;1;1;0;1;666;2.823474229;15.06849315;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL;f__;g__;s__
OTU-10457;1;1;1;0;1;795;2.900367129;69.17808219;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL;f__;g__;s__
OTU-182;1;1;1;1;0;2256;3.353339095;88.35616438;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87;f__;g__;s__
OTU-661;1;1;1;1;0;1118;3.048441804;88.35616438;k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__;s__
OTU-336;1;1;1;0;1;825;2.916453949;70.54794521;k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__;s__
OTU-1096;1;1;1;1;0;1668;3.222196046;91.78082192;k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__;f__;g__;s__
OTU-2581;1;1;1;1;0;260;2.414973348;41.09589041;k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__;s__
OTU-2672;1;1;1;1;0;1563;3.193958978;91.09589041;k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__;s__
OTU-613;1;1;1;1;0;2263;3.354684554;86.98630137;k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__;s__
OTU-281;1;1;1;1;0;4434;3.646795689;90.4109589;k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__;s__
OTU-131;1;1;1;1;0;17161;4.234542591;88.35616438;k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__;s__
OTU-6819;1;1;1;0;0;313;2.495544338;15.06849315;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
OTU-12588;1;1;1;0;0;302;2.480006943;11.64383562;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
OTU-17579;1;1;1;0;1;182;2.260071388;12.32876712;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__
OTU-2142;1;1;1;0;0;294;2.46834733;37.67123288;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__
OTU-310;1;1;1;1;1;2032;3.307923704;91.78082192;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__
OTU-2042;1;1;1;0;0;296;2.471291711;20.54794521;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
OTU-1016;1;1;1;0;0;346;2.539076099;54.10958904;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
OTU-1261;1;1;1;0;0;385;2.58546073;48.63013699;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
OTU-6259;1;1;1;0;0;491;2.691081492;68.49315068;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
OTU-1467;1;1;1;0;0;281;2.44870632;45.20547945;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__
OTU-396;1;1;1;0;0;427;2.630427875;54.79452055;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__
OTU-3943;1;1;1;0;0;162;2.209515015;10.2739726;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU-1097;1;1;1;1;0;1756;3.244524512;91.78082192;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__
OTU-15428;1;1;1;0;0;46;1.662757832;6.164383562;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__;s__
OTU-2800;1;1;1;0;0;647;2.810904281;88.35616438;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__;s__
OTU-42709;1;1;1;1;0;881;2.944975908;90.4109589;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;NA
OTU-3827;1;1;1;1;1;3490;3.542825427;91.78082192;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;s__mirabilis
OTU-36001;1;1;1;1;0;362;2.558708571;70.54794521;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;NA
OTU-345;1;1;1;0;0;478;2.679427897;78.08219178;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__;s__
OTU-2387;1;1;1;0;1;560;2.748188027;67.12328767;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__
OTU-413;1;1;1;1;1;4383;3.641771471;92.46575342;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__
OTU-38384;1;1;1;0;0;359;2.555094449;28.76712329;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes;s__
OTU-386;1;1;1;0;1;706;2.848804701;71.91780822;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes;s__
OTU-9450;1;1;1;1;0;171;2.23299611;34.93150685;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora;NA
OTU-1164;1;1;1;0;0;765;2.883661435;89.7260274;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;NA;NA
OTU-191;1;1;1;1;0;1112;3.046104787;95.20547945;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;NA;NA
OTU-149;1;1;1;1;1;2590;3.413299764;91.78082192;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;NA;NA
OTU-5;1;1;1;1;1;48920;4.689486448;94.52054795;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__oxydans
OTU-3621;1;1;1;0;1;522;2.717670503;44.52054795;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__;s__
OTU-7578;1;1;1;0;0;185;2.267171728;27.39726027;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides;s__
OTU-1226;1;1;1;0;0;944;2.974971994;91.78082192;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__;s__
OTU-65;1;1;1;1;0;1637;3.214048679;91.78082192;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium;s__
OTU-580;1;1;1;1;0;6828;3.834293512;92.46575342;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-362;1;1;1;0;1;1368;3.136086097;85.61643836;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-27188;1;1;1;0;0;259;2.413299764;14.38356164;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-1034;1;1;1;0;1;1123;3.050379756;91.78082192;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-4827;1;1;1;0;0;353;2.547774705;24.65753425;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-363;1;1;1;0;0;549;2.739572344;70.54794521;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-371;1;1;1;0;1;625;2.795880017;67.80821918;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-11585;1;1;1;0;0;348;2.541579244;23.97260274;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
OTU-424;1;1;1;0;1;1712;3.23350376;91.78082192;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__
OTU-28947;1;1;1;0;0;238;2.376576957;19.17808219;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__
OTU-12930;1;1;1;0;0;175;2.243038049;13.01369863;k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__;s__
OTU-1037;1;1;1;0;0;372;2.57054294;64.38356164;k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__
OTU-383;1;1;1;0;1;687;2.836956737;19.8630137;k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__
OTU-16434;1;1;1;0;0;441;2.644438589;15.06849315;k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__
OTU-360;1;1;1;0;1;308;2.488550717;33.56164384;k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__;s__
OTU-36930;1;1;1;0;1;636;2.803457116;32.19178082;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter;s__versatilis
OTU-37953;1;1;1;0;1;373;2.571708832;25.34246575;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
OTU-33420;1;1;1;0;1;330;2.51851394;14.38356164;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
OTU-750;1;1;1;0;1;459;2.661812686;49.31506849;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
OTU-3635;1;1;1;0;1;587;2.768638101;48.63013699;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
OTU-104;1;1;1;1;0;2945;3.469085299;91.09589041;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;NA;NA
OTU-10179;1;1;1;0;0;120;2.079181246;5.479452055;k__Archaea;NA;NA;NA;NA;NA;NA
OTU-334;1;1;1;0;1;2146;3.331629718;89.04109589;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__
OTU-86;1;1;1;1;0;1572;3.196452542;90.4109589;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-190;1;1;0;1;0;2480;3.394451681;82.87671233;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-18292;1;1;1;1;0;293;2.46686762;44.52054795;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-3075;1;1;0;1;0;603;2.780317312;35.61643836;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-227;1;1;0;1;0;577;2.761175813;56.84931507;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-229;1;1;1;1;0;4659;3.66829271;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
OTU-181;1;1;1;1;0;1112;3.046104787;81.50684932;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Phaeospirillum;s__fulvum
OTU-1357;1;1;1;0;1;302;2.480006943;45.89041096;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__;s__
OTU-136;1;1;1;1;1;2508;3.399327532;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__;s__
OTU-19704;1;1;1;1;0;841;2.924795996;84.24657534;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacter;s__sibiricus
OTU-6;1;1;1;1;0;19021;4.279233346;93.15068493;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana;s__
OTU-350;1;1;1;0;0;1498;3.175511813;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;NA;NA
OTU-70124;1;1;1;1;0;3353;3.525433553;86.98630137;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana;s__
OTU-10407;1;1;1;1;0;20814;4.31835555;93.15068493;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;NA;NA
OTU-10847;1;1;1;1;0;1843;3.265525335;73.97260274;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__diminuta
OTU-2390;1;1;1;1;0;3131;3.495683068;87.67123288;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__diminuta
OTU-148;1;1;1;1;0;4138;3.616790486;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;NA;NA
OTU-5369;1;1;1;1;0;1259;3.10002573;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__
OTU-23;1;1;1;1;1;40175;4.603955885;92.46575342;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-74015;1;1;1;0;1;617;2.790285164;83.56164384;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-1551;1;1;1;1;0;1556;3.192009593;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-54534;1;1;1;1;0;2181;3.338655666;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-569;1;1;1;1;1;6224;3.794069584;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-60671;1;1;1;1;0;5784;3.762228284;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;NA
OTU-1313;1;1;1;1;0;1451;3.161667412;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;NA
