"""OTU"",""all"",""t0"",""micro"",""susp"",""all_fltr"",""fltr_t0"",""fltr_micro"",""fltr_susp"",""micro_fltr"",""susp_fltr"",""ASV total abundance"",""ASV total abundance (log10)"",""Prevalence"",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU-27563,1,1,1,1,0,0,0,0,0,0,14,1.14612803567824,6.84931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Methylocystaceae"",""g__"",""s__"""
"OTU-16192,1,0,1,0,0,0,0,0,0,0,45,1.65321251377534,26.7123287671233,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-49196,1,1,1,0,0,0,0,0,0,0,89,1.94939000664491,45.8904109589041,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-51,1,1,1,1,1,1,1,1,1,0,1837,3.26410915630581,91.7808219178082,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-49971,1,1,1,0,0,0,0,0,0,0,27,1.43136376415899,15.7534246575342,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-5132,1,1,1,1,0,0,0,0,0,0,109,2.03742649794062,44.5205479452055,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-30788,1,1,1,1,0,0,0,0,0,0,25,1.39794000867204,8.21917808219178,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-3199,1,1,1,1,0,0,0,0,0,0,174,2.2405492482826,54.7945205479452,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Methylocystaceae"",""g__"",""s__"""
"OTU-13699,1,1,1,1,0,0,0,0,0,0,12,1.07918124604762,6.84931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Rubellimicrobium"",""s__"""
"OTU-4176,1,1,1,1,0,0,0,0,0,0,113,2.05307844348342,34.2465753424658,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Rubellimicrobium"",""s__"""
"OTU-1322,1,1,1,1,0,0,0,0,0,0,288,2.45939248775923,71.9178082191781,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Amaricoccus"",""s__"""
"OTU-37507,1,1,1,1,0,0,0,0,0,0,38,1.57978359661681,19.8630136986301,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Amaricoccus"",""s__"""
"OTU-11113,1,1,1,0,0,0,0,0,0,0,18,1.25527250510331,10.958904109589,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Amaricoccus"",""s__"""
"OTU-11901,1,1,1,1,0,0,0,0,0,0,18,1.25527250510331,8.21917808219178,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Amaricoccus"",""s__"""
"OTU-398,1,1,1,1,0,0,0,0,0,0,92,1.96378782734556,32.1917808219178,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Amaricoccus"",""s__"""
