OTU;T0;C;A1;A3;HS;C_C;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-228319;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;29;1.462397998;80
OTU-207493;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;322;2.507855872;93.33333333
OTU-183678;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0.301029996;13.33333333
OTU-22302;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;49;1.69019608;80
OTU-190156;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;50;1.698970004;86.66666667
OTU-3718;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;16;1.204119983;60
OTU-262;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2022;3.305781151;93.33333333
OTU-48715;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;18;1.255272505;40
OTU-1957;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;25;1.397940009;80
OTU-48332;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;29;1.462397998;60
OTU-192992;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;23;1.361727836;53.33333333
OTU-1484;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;332;2.521138084;93.33333333
OTU-2325;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;13;1.113943352;40
OTU-176309;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;16;1.204119983;46.66666667
OTU-63229;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;12;1.079181246;46.66666667
OTU-242267;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;32;1.505149978;33.33333333
OTU-42833;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;8;0.903089987;26.66666667
OTU-132063;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;0.77815125;20
OTU-8463;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;329;2.517195898;86.66666667
OTU-186278;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-185040;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;3;0.477121255;20
OTU-25448;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;26;1.414973348;73.33333333
OTU-84353;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;12;1.079181246;26.66666667
OTU-294;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;286;2.456366033;100
OTU-139441;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0.477121255;13.33333333
OTU-77874;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;76;1.880813592;80
OTU-667;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1266;3.102433706;93.33333333
OTU-10552;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;31;1.491361694;73.33333333
OTU-14422;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;9;0.954242509;40
OTU-69635;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;11;1.041392685;53.33333333
OTU-130195;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;8;0.903089987;33.33333333
OTU-130424;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;16;1.204119983;53.33333333
OTU-107058;0;1;0;0;0;1;0;1;1;1;1;1;0;0;1;15;1.176091259;53.33333333
OTU-92637;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;8;0.903089987;40
OTU-597;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;3161;3.499824496;93.33333333
OTU-15170;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;40;1.602059991;80
OTU-909;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;546;2.737192643;100
OTU-151652;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;18;1.255272505;26.66666667
OTU-19659;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;211;2.324282455;73.33333333
