OTU;T0;Ctrl;US;pH2;pH11;Ox1;Ox2;FT;A1;A2;A3;F1;F2;F3;Fun1;Fun2;Pro;Na;HS;UV;C_C;C_Ox1;Ox1_Ox1;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;C_pH2;pH2_pH2;C_pH11;pH11_pH11;C_F3;F3_F3;C_Fun1;Fun1_Fun1;C_Pro;Pro_Pro;C_UV;UV_UV;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-90606;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;100;2;36.36363636
OTU-210624;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;935;2.970811611;95.45454545
OTU-190857;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;278;2.444044796;38.63636364
OTU-88968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;1.204119983;4.545454545
OTU-49838;1;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;46;1.662757832;52.27272727
OTU-167519;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;311;2.492760389;95.45454545
OTU-22573;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;81;1.908485019;70.45454545
OTU-225;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;7648;3.883547879;88.63636364
OTU-21630;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;0;1;1;0;53;1.72427587;47.72727273
OTU-46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2875;3.458637849;97.72727273
OTU-16171;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;147;2.167317335;90.90909091
OTU-140142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;60;1.77815125;50
OTU-7629;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;297;2.472756449;95.45454545
OTU-115799;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1778;3.249931757;95.45454545
OTU-3311;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;77;1.886490725;65.90909091
OTU-2334;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;388;2.588831726;77.27272727
OTU-73209;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;33;1.51851394;40.90909091
OTU-52147;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;155;2.190331698;79.54545455
OTU-4174;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;558;2.746634199;97.72727273
OTU-10478;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;782;2.893206753;93.18181818
OTU-178728;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;74;1.86923172;54.54545455
OTU-179199;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;545;2.736396502;95.45454545
OTU-47958;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;482;2.683047038;93.18181818
OTU-48759;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;91;1.959041392;90.90909091
OTU-18558;1;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;22;1.342422681;36.36363636
OTU-168120;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;646;2.810232518;72.72727273
OTU-107454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;12;1.079181246;18.18181818
OTU-168862;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;72;1.857332496;59.09090909
OTU-233632;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;208;2.318063335;77.27272727
OTU-71523;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;248;2.394451681;36.36363636
